date,team1,team2,venue,city,event
2019-06-05,India,South Africa,The Rose Bowl,Southampton,World Cup
2019-06-09,Australia,India,Kennington Oval,London,World Cup
2019-06-16,India,Pakistan,Old Trafford,Manchester,World Cup
2019-06-27,India,West Indies,Old Trafford,Manchester,World Cup
2019-06-30,England,India,Edgbaston,Birmingham,World Cup
2019-07-02,Bangladesh,India,Edgbaston,Birmingham,World Cup
2019-07-06,India,Sri Lanka,Headingley,Leeds,World Cup
2019-07-09,India,New Zealand,Old Trafford,Manchester,World Cup
2023-10-08,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,ICC Cricket World Cup
2023-10-14,Pakistan,India,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,ICC Cricket World Cup
2023-10-19,Bangladesh,India,"Maharashtra Cricket Association Stadium, Pune",Pune,ICC Cricket World Cup
2023-10-22,New Zealand,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,ICC Cricket World Cup
2023-10-29,India,England,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,ICC Cricket World Cup
2023-11-02,India,Sri Lanka,"Wankhede Stadium, Mumbai",Mumbai,ICC Cricket World Cup
2023-11-05,India,South Africa,"Eden Gardens, Kolkata",Kolkata,ICC Cricket World Cup
2023-11-12,India,Netherlands,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,ICC Cricket World Cup
2023-11-15,India,New Zealand,"Wankhede Stadium, Mumbai",Mumbai,ICC Cricket World Cup
2023-11-19,India,Australia,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,ICC Cricket World Cup
2007-03-17,Bangladesh,India,"Queen's Park Oval, Port of Spain",Trinidad,ICC World Cup
2007-03-19,Bermuda,India,"Queen's Park Oval, Port of Spain",Trinidad,ICC World Cup
2007-03-23,India,Sri Lanka,"Queen's Park Oval, Port of Spain",Trinidad,ICC World Cup
2011-02-19,Bangladesh,India,Shere Bangla National Stadium,Mirpur,ICC Cricket World Cup
2011-02-27,India,England,M Chinnaswamy Stadium,Bangalore,ICC Cricket World Cup
2011-03-06,India,Ireland,M Chinnaswamy Stadium,Bangalore,ICC Cricket World Cup
2011-03-09,India,Netherlands,Feroz Shah Kotla,Delhi,ICC Cricket World Cup
2011-03-12,India,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,ICC Cricket World Cup
2011-03-20,India,West Indies,"MA Chidambaram Stadium, Chepauk",Chennai,ICC Cricket World Cup
2011-03-24,India,Australia,"Sardar Patel Stadium, Motera",Ahmedabad,ICC Cricket World Cup
2011-03-30,India,Pakistan,"Punjab Cricket Association Stadium, Mohali",Chandigarh,ICC Cricket World Cup
2011-04-02,India,Sri Lanka,Wankhede Stadium,Mumbai,ICC Cricket World Cup
2003-02-12,India,Netherlands,"Boland Bank Park, Paarl",Paarl,ICC World Cup
2003-02-15,India,Australia,"SuperSport Park, Centurion",Centurion,ICC World Cup
2003-02-19,India,Zimbabwe,Harare Sports Club,Harare,ICC World Cup
2003-02-23,India,Namibia,"City Oval, Pietermaritzburg",Pietermaritzburg,ICC World Cup
2003-02-26,India,England,"Kingsmead, Durban",Durban,ICC World Cup
2003-03-01,Pakistan,India,"SuperSport Park, Centurion",Centurion,ICC World Cup
2003-03-07,Kenya,India,"Newlands, Cape Town",Cape Town,ICC World Cup
2003-03-10,India,Sri Lanka,"New Wanderers Stadium, Johannesburg",Johannesburg,ICC World Cup
2003-03-14,New Zealand,India,"SuperSport Park, Centurion",Centurion,ICC World Cup
2003-03-20,India,Kenya,"Kingsmead, Durban",Durban,ICC World Cup
2003-03-23,Australia,India,"New Wanderers Stadium, Johannesburg",Johannesburg,ICC World Cup
2015-02-15,India,Pakistan,Adelaide Oval,,ICC Cricket World Cup
2015-02-22,India,South Africa,Melbourne Cricket Ground,,ICC Cricket World Cup
2015-02-28,India,United Arab Emirates,Western Australia Cricket Association Ground,Perth,ICC Cricket World Cup
2015-03-06,India,West Indies,Western Australia Cricket Association Ground,Perth,ICC Cricket World Cup
2015-03-10,India,Ireland,Seddon Park,Hamilton,ICC Cricket World Cup
2015-03-14,India,Zimbabwe,Eden Park,Auckland,ICC Cricket World Cup
2015-03-19,Bangladesh,India,Melbourne Cricket Ground,,ICC Cricket World Cup
2015-03-26,Australia,India,Sydney Cricket Ground,,ICC Cricket World Cup
